ad_id,title,location,price,year,mileage,condition,fuel_type,transmission,make,model,version,color,doors,seats,interior,warranty,owners,body_type,payment_option,source,extra_features
130538935,Toyota Rav 4 2021,"Salalah, Dhofar",7500,2021,65000,,3,2,65,Rav 4,sedan,White,4-5,,Full Leather,No,2,Sedan,Cash,us,"['36', '17', '19', '20', '11', '18', 'Brand: Toyota', 'Power (hp): 400', 'Consumption (l/100 km): 2', 'Air Conditioning: Automatic air conditioning', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: US']"
130524912,التيما ٢٠٢٤ الشكل الجديد SR ٤ كاميرات الفل,"Al Amarat, Muscat",5300,2024,1300,,3,2,66,Altima,نيسان التيما SR 2024 الفل,White,4-5,4,Full Leather,Does Not Apply,1,Sedan,Cash,us,"['34', '36', '17', '19', '20', '27', '11', '18', '25', '1', '3', '33', '35', '22', '4', '9', '15', '42', '43', '5', '28', '29', '31', '32', '38', '26', '6', '7', '21', '30', '8', '13', '16', '37', '24', '10', '14', '23', '40', '41', '44', '45', '46', 'Brand: Nissan', 'Power (hp): 248', 'Consumption (l/100 km): 10', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: US']"
130538907,Hyundai Accent 2007,"Al Khoud, Muscat",700,2007,222222,,2,1,45,Accent,all ok new engine,Blue,2-3,2,Other,Does Not Apply,,Other,Cash,gcc,"['11', '1', 'Brand: Hyundai', 'Power (hp): 222', 'Consumption (l/100 km): 2', 'Air Conditioning: A/C manual', 'Number of seats: 2', 'Number of doors: 2/3', 'Source: GCC']"
130538903,تويوتا لاند كروزر 2005,"Sadab, Muscat",3800,2005,180,,3,2,65,Land Cruiser,,White,4-5,7,Velour,Does Not Apply,,Estate,Cash,gcc,"['25', '1', '3', '22', '4', '5', 'Brand: Toyota', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 7', 'Number of doors: 4/5', 'Source: GCC']"
130538879,Mazda 6 2009,"Al Mawaleh, Muscat",800,2009,200000,,1,2,48,6,,White,4-5,5,Other,Does Not Apply,2,Sedan,Cash,gcc,"['1', '3', '5', '28', '31', '26', '7', 'Brand: Mazda', 'Power (hp): 20', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: GCC']"
130538781,Daihatsu Sirion 2006,"Al Khoud, Muscat",630,2006,394133,,3,2,68,Sirion,2006,White,4-5,,Other,No,1,Small city car,Cash,gcc,"['Brand: Daihatsu', 'Power (hp): 15', 'Air Conditioning: A/C manual', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130165370,Dodge Challenger 2018,"Bidbid, Al Dakhiliya",4000,2018,165,,3,2,59,Challenger,GT,Black,2-3,4,Full Leather,No,1,Sports Car,Cash,us,"['34', '36', '17', '19', '20', '27', '11', '18', '25', '1', '3', '33', '35', '22', '4', '9', '15', '42', '43', '5', '32', '38', '26', '6', '7', '21', '8', '13', '16', '37', '40', '41', '45', '46', 'Brand: Dodge', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 4', 'Number of doors: 2/3', 'Number of Owners: 1', 'Source: US']"
130162153,Honda CR-V 2007,"Mutrah, Muscat",1600,2007,284003,,3,2,26,CR-V,,Black,,,,No,,SUV,Cash,gcc,"['Brand: Honda', 'Source: GCC']"
129195684,كومارو للبيع ٢٠١٠,"Al Khoud, Muscat",1700,2010,195000,,3,2,29,Camaro,,White,,,Full Leather,Does Not Apply,,Sports Car,Cash,us,"['1', '5', '6', '7', '8', '10', '17', '18', '19', '20', '26', 'Brand: Chevrolet', 'Air Conditioning: Automatic air conditioning', 'Source: US']"
130145397,Land Rover Discovery 2020,"Muscat - Other, Muscat",6900,2020,92000,,3,2,77,Discovery,,Black,4-5,5,Cloth,No,2,Estate,Cash,us,"['34', '36', '17', '19', '20', '11', '25', '1', '3', '35', '4', '15', '42', '43', '5', '28', '29', '31', '32', '38', '26', '6', '7', '21', '30', '8', '13', '16', '37', '24', '10', '14', '23', '40', '41', '44', '45', '46', 'Brand: Land Rover', 'Power (hp): 150', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: US']"
