car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
CHERY ARRIZO 6 PRO 1.5T+CVT FLAGSHIP - MY:2024 - UNUSED,"Ruwi, Muscat•",2024,"OMR 6,000",100,Automatic,'4/5,GCC,Arrizo,Grey,N/A,Chery
INFINITY Q50 S - MY : 2023,"Ruwi, Muscat•",2023,"OMR 14,000",39694,Automatic,'4/5,GCC,Q50,Blue,N/A,Infiniti
SUZUKI GRAND VITARA 1.6 5DR : MY 2020,"Ruwi, Muscat•",2020,"OMR 3,300",190000,Automatic,'4/5,GCC,Grand Vitara,White,N/A,Suzuki
نيسان باترول 2024,"Al Masn'a, Al Batinah•",2024,"OMR 31,500",-,Automatic,'4/5,GCC,Patrol,Black,N/A,Nissan
لينكولن كونتيننتال 2020,"Al Khoud, Muscat•",2020,"OMR 7,400",39000,Automatic,'4/5,US,Continental,Gold,N/A,Lincoln
جمس سيرا غماره AT4 رقم 1 محرك 5.3 خليجي 2024,"Al Ghubrah, Muscat•",2024,"OMR 21,900",30000,Automatic,'2/3,GCC,Sierra,White,N/A,GMC
نيتا اكس 2024 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2024,"OMR 10,200",1,Automatic,'4/5,Company Source,Nezha,White,N/A,Nezha
Mercedes-Benz S 450 2019,"Al Maabilah, Muscat•",2019,"OMR 17,700",55000,Automatic,'4/5,US,S 450,Beige,N/A,Mercedes
هيونداي افانتي 2021 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2021,"OMR 5,100",171000,Automatic,'4/5,US,Avanti,White,N/A,Hyundai
تويوتا لاند كروزر 2025,"Al Masn'a, Al Batinah•",2025,"OMR 25,900",-,Automatic,'4/5,GCC,Land Cruiser,Other,N/A,Toyota
Mercedes-Benz S 400 2015 ( GCC),"Bosher, Muscat•",2015,"OMR 9,500",169000,Automatic,N/A,GCC,S 400,White,N/A,mercedes
