brand,model,year,color,transmission_type,number_of_doors,source,kilometers,price
hyundai,veloster,2017,white,automatic,4/5,us,50000,2650.0
toyota,camry,2019,grey,automatic,4/5,us,50000,5950.0
honda,civic,2019,silver,automatic,4/5,us,36800,4200.0
lexus,gx 460,2017,silver,automatic,4/5,us,100000,11800.0
lexus,gx 460,2018,silver,automatic,4/5,us,100000,12400.0
toyota,corolla,2022,silver,automatic,4/5,us,5100,5650.0
changan,alsvin,2024,beige,automatic,4/5,gcc,11000,3800.0
porsche,taycan,2023,black,automatic,4/5,company source,11844,38500.0
great wall,great wall wingle 7,2023,white,automatic,4/5,gcc,25000,4300.0
dodge,ram,2019,blue,automatic,4/5,gcc,165000,5900.0
nissan,patrol safari,2020,gold,automatic,2/3,gcc,166000,12700.0
nissan,patrol,2017,white,automatic,4/5,gcc,166000,10900.0
porsche,cayenne,2014,silver,automatic,4/5,gcc,201000,7800.0
mg,gla 35 amg,2020,red,automatic,4/5,us,98000,15600.0
toyota,land cruiser,2019,white,automatic,4/5,gcc,99000,23500.0
gmc,sierra,2016,silver,automatic,2/3,gcc,240000,7800.0
lexus,nx,2023,white,automatic,4/5,us,29000,15500.0
toyota,land cruiser,2023,white,automatic,4/5,gcc,68000,21900.0
toyota,land cruiser,2017,blue,automatic,4/5,gcc,176000,17900.0
mercedes,s500,2015,other,automatic,4/5,us,100000,9500.0
infiniti,qx80,2022,other,automatic,4/5,us,25000,17500.0
toyota,land cruiser,2018,white,automatic,2/3,gcc,110000,9200.0
nissan,altima,2022,other,automatic,4/5,us,87000,4800.0
jeep,wrangler,2019,silver,automatic,4/5,us,174000,11400.0
toyota,fj cruiser,2019,white,automatic,4/5,gcc,246000,9900.0
suzuki,dzire,2022,brown,automatic,4/5,gcc,107000,3200.0
toyota,yaris,2017,white,automatic,4/5,gcc,163000,3600.0
bmw,x5,2016,white,automatic,4/5,gcc,132000,7200.0
mazda,6,2023,silver,automatic,4/5,gcc,21300,7700.0
nissan,altima,2019,black,automatic,4/5,us,78000,3900.0
ford,f150,2022,blue,automatic,4/5,us,118000,12900.0
ford,raptor,2022,white,automatic,4/5,us,75000,27600.0
toyota,camry,2018,red,automatic,4/5,us,100000,4800.0
mercedes,c 300,2018,white,automatic,4/5,us,100000,6000.0
ford,expedition,2019,silver,automatic,4/5,gcc,112000,13500.0
toyota,hilux,2022,white,automatic,4/5,gcc,236000,9000.0
mitsubishi,canter,2023,white,automatic,2/3,gcc,67000,9500.0
toyota,land cruiser,2015,white,automatic,4/5,gcc,263000,9300.0
toyota,hilux,2021,white,automatic,2/3,gcc,171000,7600.0
toyota,corolla,2020,silver,automatic,4/5,gcc,135000,4200.0
suzuki,vitara,2016,brown,automatic,4/5,gcc,119000,2400.0
subaru,forester,2018,white,automatic,4/5,gcc,200000,3500.0
mg,mg 5,2022,white,automatic,4/5,gcc,131700,2800.0
mg,mg rx5,2022,blue,automatic,4/5,gcc,226489,3500.0
kia,sportage,2019,blue,automatic,4/5,gcc,205000,3500.0
mitsubishi,l200,2021,white,manual,4/5,gcc,191000,5200.0
nissan,patrol,2019,white,automatic,4/5,gcc,118000,11000.0
kia,sportage,2019,grey,automatic,4/5,gcc,204000,3500.0
mitsubishi,l200,2021,white,automatic,4/5,gcc,130000,5900.0
nissan,sunny,2020,white,automatic,4/5,gcc,150000,2300.0
range rover,range rover,2020,white,automatic,4/5,gcc,78000,524.0
toyota,hilux,2021,white,manual,4/5,gcc,160000,7200.0
hyundai,santa fe,2018,silver,automatic,4/5,gcc,187000,3700.0
toyota,hilux,2017,white,automatic,4/5,gcc,171000,7600.0
mitsubishi,canter,2023,white,automatic,4/5,gcc,67000,9000.0
toyota,corolla,2019,red,automatic,4/5,gcc,80000,5900.0
ford,explorer,2020,black,automatic,4/5,us,50000,8500.0
infiniti,q50,2020,silver,automatic,4/5,us,50000,7500.0
lexus,is 200,2017,blue,automatic,4/5,us,50000,6500.0
volkswagen,passat,2019,white,automatic,4/5,us,50000,3500.0
jeep,wrangler,2018,black,automatic,4/5,us,50000,8200.0
toyota,sienna,2017,grey,automatic,4/5,us,50000,6000.0
hyundai,elantra,2022,black,automatic,4/5,us,50000,5000.0
ford,f150,2017,white,automatic,4/5,us,50000,5500.0
porsche,macan,2024,blue,automatic,4/5,company source,1912,26500.0
porsche,panamera turbo,2017,white,automatic,4/5,company source,2851,41900.0
honda,civic,2021,grey,automatic,4/5,us,82000,5800.0
mini,cooper,2021,beige,automatic,4/5,us,25000,5600.0
ford,mustang,2024,other,automatic,2/3,gcc,7800,24900.0
toyota,rav 4,2024,silver,automatic,4/5,us,12000,9500.0
mercedes,glb 250,2021,white,automatic,4/5,us,69000,8900.0
tesla,model 3,2023,white,automatic,4/5,us,16000,10900.0
toyota,camry,2018,white,automatic,4/5,us,163159,5950.0
toyota,fj cruiser,2023,grey,automatic,2/3,gcc,47563,14500.0
toyota,land cruiser,2016,white,automatic,4/5,gcc,259810,16500.0
ford,mustang,2023,white,automatic,2/3,gcc,5000,18900.0
nissan,patrol,2020,blue,automatic,4/5,gcc,109000,17800.0
nissan,kicks,2018,grey,automatic,4/5,gcc,401235,2700.0
nissan,altima,2015,gold,automatic,4/5,us,20000,2400.0
suzuki,vitara,2021,white,automatic,4/5,gcc,154000,3600.0
ford,transit,2020,white,manual,2/3,gcc,197000,3300.0
nissan,silvia,2018,white,manual,2/3,gcc,285000,10500.0
nissan,altima,2019,grey,automatic,2/3,us,180000,4200.0
mercedes,e300,2019,white,automatic,4/5,us,98000,10200.0
honda,accord,2021,blue,automatic,4/5,us,270395,6500.0
bmw,x5,2016,grey,automatic,4/5,gcc,180000,6500.0
ram,ram,2019,white,automatic,4/5,us,104000,7800.0
porsche,taycan,2022,grey,automatic,4/5,company source,17300,38500.0
toyota,fj cruiser,2022,silver,automatic,4/5,gcc,62000,12900.0
toyota,corolla,2020,red,automatic,4/5,us,1680,4800.0
ford,expedition,2019,brown,automatic,4/5,us,155000,9400.0
toyota,camry,2021,black,automatic,4/5,us,50000,8000.0
mercedes,gle 400 coupe,2016,red,automatic,4/5,gcc,50000,10800.0
mg,mg rx5,2021,white,automatic,4/5,gcc,75135,5000.0
porsche,cayenne,2020,silver,automatic,4/5,gcc,58000,26900.0
mercedes,c180,2009,white,automatic,4/5,gcc,375000,1300.0
hyundai,accent,2013,white,automatic,4/5,gcc,328000,1280.0
infiniti,qx80,2018,black,automatic,4/5,gcc,84000,12900.0
land rover,range rover velar,2018,black,automatic,4/5,gcc,210000,6000.0
volkswagen,tiguan,2009,blue,automatic,4/5,gcc,290000,1365.0
lexus,rc,2022,white,automatic,2/3,us,4200,11500.0
hyundai,elantra,2013,red,automatic,4/5,gcc,374000,1550.0
volkswagen,jetta,2016,silver,automatic,4/5,us,140000,1400.0
nissan,sentra,2014,grey,automatic,4/5,us,1455,1500.0
toyota,corolla,2015,red,automatic,4/5,gcc,173140,3900.0
bmw,x65,2020,white,automatic,2/3,company source,71000,3850.0
bmw,x65,2017,white,automatic,4/5,company source,55000,2700.0
hyundai,accent,2017,grey,automatic,4/5,gcc,150000,2400.0
bmw,x1,2011,brown,automatic,4/5,gcc,290000,1200.0
dodge,challenger,2019,silver,automatic,4/5,canada,111000,5400.0
gmc,other,2014,burgundy,automatic,4/5,gcc,237000,5700.0
gmc,yukon,2004,blue,automatic,4/5,us,512000,2000.0
lexus,rx 350,2021,blue,automatic,4/5,us,88000,11700.0
subaru,legacy,2016,grey,automatic,4/5,gcc,255000,2100.0
kia,sportage,2016,white,automatic,4/5,gcc,153000,3500.0
chevrolet,spark,2013,white,automatic,2/3,gcc,235000,950.0
nissan,versa,2015,white,automatic,4/5,us,350000,1450.0
toyota,prado,2013,white,automatic,4/5,gcc,220000,8000.0
hyundai,sonata,2018,white,automatic,4/5,gcc,300000,2900.0
audi,q3,2016,brown,automatic,4/5,gcc,160000,3500.0
mercedes,clk 240,2014,grey,automatic,4/5,us,140000,3000.0
jeep,compass,2012,white,automatic,4/5,gcc,175000,1200.0
kia,optima,2017,grey,automatic,4/5,us,190000,2600.0
mitsubishi,lancer,2012,beige,automatic,4/5,gcc,204000,1500.0
mazda,6,2023,white,automatic,4/5,gcc,130000,5950.0
toyota,land cruiser,2022,white,automatic,4/5,gcc,135000,23000.0
fuso,fuso canter,2008,white,manual,2/3,gcc,400000,5000.0
audi,q5,2014,silver,automatic,4/5,gcc,200000,3300.0
toyota,corolla,2011,gold,automatic,4/5,gcc,200000,1950.0
renault,duster,2012,white,automatic,4/5,company source,269600,1050.0
mitsubishi,pajero,2008,black,automatic,4/5,gcc,375000,1400.0
toyota,yaris,2008,white,automatic,4/5,gcc,123456,1050.0
toyota,yaris,2009,white,manual,2/3,gcc,22222,1200.0
mini,cooper s,2011,brown,automatic,4/5,gcc,145000,1200.0
toyota,aurion,2007,black,automatic,4/5,gcc,490000,1550.0
kia,sportage,2017,green,automatic,4/5,gcc,140000,4100.0
honda,accord,2004,blue,automatic,4/5,gcc,270000,950.0
hyundai,creta,2024,other,automatic,4/5,gcc,11000,7950.0
hyundai,santa fe,2016,white,automatic,2/3,gcc,280000,2700.0
mercedes,cla 250,2018,black,automatic,4/5,canada,102000,4450.0
volkswagen,passat,2015,silver,automatic,4/5,gcc,210800,2500.0
toyota,corolla,2012,white,automatic,4/5,gcc,30000,1900.0
subaru,xv,2017,other,automatic,2/3,gcc,186000,3750.0
nissan,tiida,2015,gold,automatic,4/5,gcc,169000,2050.0
chevrolet,cruze,2013,beige,automatic,2/3,company source,187000,850.0
jeep,wrangler,2018,grey,automatic,2/3,gcc,133000,11500.0
suzuki,grand vitara,2016,brown,automatic,4/5,gcc,158757,2700.0
mercedes,280c,1996,silver,automatic,4/5,europe,200000,850.0
mg,mg 5,2023,black,automatic,4/5,gcc,50000,3950.0
toyota,land cruiser,1998,green,automatic,4/5,us,25000,2700.0
suzuki,swift,2016,grey,automatic,4/5,gcc,17000,1800.0
jeep,compass,2019,grey,automatic,4/5,company source,82000,5350.0
mitsubishi,lancer,2015,white,automatic,4/5,gcc,385000,2000.0
toyota,camry,2008,white,automatic,4/5,gcc,18900,1500.0
toyota,yaris,2013,white,automatic,4/5,gcc,284000,1600.0
toyota,corolla,2012,white,automatic,2/3,gcc,200000,2500.0
genesis,g80,2015,brown,automatic,4/5,us,125000,3500.0
jeep,wrangler,2021,grey,automatic,4/5,us,74000,10200.0
hyundai,santa fe,2018,brown,automatic,4/5,gcc,200000,4000.0
nissan,sentra,2015,grey,automatic,4/5,gcc,83000,1900.0
hyundai,veloster,2020,blue,automatic,2/3,gcc,131350,5150.0
mazda,2,2016,blue,automatic,4/5,gcc,122000,2500.0
nissan,tiida,2008,red,automatic,4/5,company source,300000,750.0
hyundai,tucson,2012,brown,automatic,4/5,gcc,198000,2300.0
bmw,x4,2017,white,automatic,4/5,gcc,97922,9700.0
toyota,yaris,2007,silver,automatic,4/5,gcc,450000,1050.0
toyota,camry,1998,gold,automatic,4/5,gcc,800000,1300.0
peugeot,207,2013,other,automatic,4/5,company source,180000,650.0
bmw,428,2015,brown,automatic,4/5,gcc,290000,4400.0
mitsubishi,pajero sport,2016,burgundy,automatic,2/3,gcc,190000,5500.0
nissan,pathfinder,2015,white,automatic,4/5,canada,153000,2500.0
kia,sorento,2010,silver,automatic,4/5,us,155000,2600.0
hyundai,elantra,2012,white,automatic,2/3,gcc,200000,1500.0
hyundai,accent,2013,silver,automatic,4/5,gcc,127000,1470.0
honda,civic,2007,white,automatic,4/5,gcc,300000,1200.0
kia,forte,2022,grey,automatic,4/5,us,66000,4000.0
toyota,corolla,2017,white,automatic,4/5,us,170000,3300.0
mg,mg rx8,2024,white,automatic,4/5,gcc,17000,10500.0
hyundai,elantra,2015,burgundy,automatic,4/5,gcc,200000,1750.0
nissan,kicks,2020,orange,automatic,4/5,us,65000,4750.0
hyundai,santa fe,2016,grey,automatic,4/5,gcc,120149,3500.0
toyota,camry,2004,red,automatic,4/5,gcc,500000,1000.0
honda,pilot,2015,other,automatic,4/5,gcc,200000,5000.0
hyundai,accent,2022,silver,automatic,4/5,us,30000,3600.0
renault,dokker van,2018,white,manual,2/3,gcc,210000,2300.0
skoda,fabia,2012,black,automatic,4/5,europe,200000,900.0
subaru,forester,2016,silver,automatic,4/5,gcc,135000,3200.0
toyota,corolla,2015,white,automatic,4/5,gcc,237000,2900.0
renault,duster,2019,beige,automatic,4/5,gcc,165000,2000.0
kia,sorento,2020,white,automatic,4/5,gcc,98000,3200.0
hyundai,veloster,2017,beige,automatic,2/3,gcc,197000,2600.0
hyundai,elantra,2013,white,automatic,4/5,us,161000,1600.0
mitsubishi,pajero,2020,silver,automatic,4/5,gcc,47500,8250.0
hyundai,tucson,2022,brown,automatic,4/5,gcc,40500,8900.0
nissan,maxima,2017,white,automatic,4/5,us,103649,3350.0
toyota,yaris,2012,white,automatic,4/5,gcc,200000,1800.0
mitsubishi,lancer,2012,white,automatic,4/5,gcc,245000,1400.0
toyota,corolla,2014,white,automatic,4/5,gcc,250000,2600.0
audi,q7,2018,white,automatic,4/5,gcc,128000,13000.0
audi,a8,2013,blue,automatic,4/5,gcc,90000,6500.0
toyota,rav 4,2014,grey,automatic,4/5,us,171000,3800.0
jeep,wrangler,2017,silver,automatic,4/5,us,145000,6300.0
peugeot,boxer,2023,white,manual,4/5,company source,83440,6500.0
suzuki,swift,2008,silver,manual,4/5,gcc,425000,550.0
toyota,sienna,2017,white,automatic,4/5,us,6200,6200.0
kia,optima,2012,brown,automatic,2/3,us,279767,1300.0
kia,sirion,2006,silver,automatic,4/5,gcc,200000,630.0
mazda,mazda 3,2010,other,automatic,4/5,gcc,25000,1175.0
nissan,tiida,2009,red,automatic,4/5,us,300000,920.0
mazda,3,2006,gold,automatic,4/5,gcc,240000,750.0
lexus,es 350,2016,grey,automatic,4/5,us,25977,7100.0
nissan,sunny,2008,white,automatic,4/5,europe,11111,780.0
infiniti,qx60,2015,white,automatic,4/5,gcc,233000,3600.0
mitsubishi,lancer,2007,white,automatic,4/5,gcc,150000,750.0
jeep,grand cherokee,2012,other,automatic,4/5,gcc,198000,2950.0
chery,tiggo,2018,white,automatic,4/5,gcc,150000,2000.0
toyota,camry,2001,white,automatic,4/5,gcc,200000,950.0
honda,city,2016,white,automatic,4/5,gcc,170000,1775.0
toyota,rav 4,2024,white,automatic,4/5,gcc,20000,11600.0
ford,focus,2014,silver,automatic,4/5,gcc,300000,1450.0
toyota,fortuner,2018,white,automatic,4/5,gcc,108000,11000.0
toyota,prado,2011,white,automatic,4/5,company source,260000,8000.0
hyundai,elantra,2016,red,automatic,4/5,gcc,95000,3000.0
ford,focus,2012,grey,automatic,2/3,us,19999,950.0
chevrolet,cruze,2012,silver,automatic,4/5,gcc,200000,1000.0
toyota,camry,2020,silver,automatic,4/5,us,161000,8000.0
toyota,rav 4,2016,brown,automatic,4/5,gcc,297000,4600.0
mazda,mazda 2,2012,grey,automatic,4/5,gcc,206000,1300.0
jeep,grand cherokee,2020,brown,automatic,4/5,us,61000,5900.0
dodge,dart,2015,black,automatic,4/5,company source,190000,1900.0
ford,explorer,2008,orange,automatic,4/5,canada,25686,800.0
nissan,pathfinder,2014,white,automatic,4/5,gcc,265000,2400.0
nissan,maxima,2011,silver,automatic,4/5,gcc,230000,1250.0
honda,accord,2007,brown,automatic,2/3,gcc,42522,1650.0
kia,cerato,2015,white,automatic,4/5,gcc,266000,1699.0
fuso,fuso rosa,2002,white,manual,2/3,us,190000,3000.0
toyota,hiace,2020,white,manual,2/3,gcc,130000,9200.0
volkswagen,other,2011,brown,automatic,4/5,gcc,40000,1500.0
kia,sirion,2010,silver,automatic,2/3,gcc,22000,930.0
hyundai,sonata,2017,silver,automatic,4/5,gcc,65000,3350.0
lexus,es 350,2021,silver,automatic,4/5,us,80000,10000.0
kia,soul,2019,grey,automatic,4/5,us,126000,2900.0
nissan,altima,2005,red,automatic,4/5,gcc,250000,700.0
ford,focus,2008,silver,manual,4/5,us,12000,800.0
suzuki,celerio,2011,green,automatic,4/5,gcc,190000,1100.0
mazda,6,2009,burgundy,automatic,4/5,gcc,300000,980.0
suzuki,vitara,2015,brown,automatic,4/5,gcc,300000,2400.0
honda,accord,2018,silver,automatic,4/5,us,115000,5800.0
nissan,urvan,2003,white,manual,2/3,gcc,500000,1950.0
mazda,mazda 3,2019,silver,automatic,4/5,gcc,106828,3450.0
audi,a3,2018,brown,automatic,4/5,gcc,128000,3500.0
nissan,sunny,2011,green,automatic,2/3,gcc,112233,900.0
mg,mg rx5,2020,grey,automatic,4/5,gcc,74000,8000.0
kia,optima,2015,white,automatic,4/5,us,168000,2100.0
suzuki,swift,2021,silver,automatic,4/5,gcc,102000,2800.0
jeep,wrangler,2016,silver,manual,2/3,gcc,140000,8000.0
hyundai,elantra,2018,white,automatic,4/5,gcc,3300,3000.0
mercedes,e250,2015,white,automatic,4/5,gcc,195000,3300.0
nissan,armada,2017,silver,automatic,2/3,us,118000,7500.0
nissan,altima,2021,grey,automatic,2/3,us,130000,3500.0
toyota,corolla,2011,blue,automatic,4/5,gcc,280866,1900.0
nissan,altima,2017,white,automatic,4/5,us,260000,2000.0
toyota,camry,2012,white,automatic,4/5,gcc,100121,1550.0
toyota,camry,2013,silver,automatic,4/5,gcc,187162,1650.0
hyundai,accent,2007,white,automatic,4/5,gcc,286000,950.0
hyundai,tucson,2019,white,automatic,4/5,us,88000,4350.0
land rover,range rover vogue,2018,orange,automatic,4/5,company source,70000,32500.0
nissan,armada,2010,grey,automatic,4/5,us,250000,1800.0
hyundai,santa fe,2013,black,automatic,4/5,gcc,19000,3300.0
gmc,terrain,2017,grey,automatic,4/5,gcc,138000,3200.0
renault,symbol,2016,silver,automatic,4/5,company source,10000,1300.0
honda,pilot,2013,grey,automatic,4/5,gcc,300000,2900.0
audi,q7,2015,white,automatic,4/5,gcc,184000,5900.0
dodge,charger,2011,grey,automatic,4/5,gcc,322229,2400.0
subaru,svx,2012,white,automatic,4/5,gcc,300000,1250.0
nissan,patrol,2018,black,automatic,4/5,us,1400,3500.0
honda,civic,2008,white,automatic,4/5,gcc,250000,1100.0
jeep,wrangler,2008,black,automatic,2/3,gcc,305000,2200.0
peugeot,407,2010,silver,automatic,4/5,gcc,265000,550.0
toyota,echo,2002,white,manual,4/5,gcc,400000,650.0
jeep,wrangler,2013,black,automatic,4/5,us,245000,5500.0
hyundai,santa fe,2015,silver,automatic,4/5,gcc,170000,4500.0
jeep,grand cherokee,2021,grey,automatic,4/5,us,50000,6300.0
byd,yuan plus ev,2024,grey,automatic,4/5,gcc,13000,10500.0
mercedes,c250,2014,white,automatic,4/5,us,391053,2800.0
ford,mustang,2010,blue,manual,2/3,us,100000,2300.0
toyota,aurion,2013,grey,automatic,4/5,gcc,200000,2800.0
nissan,sunny,2009,white,automatic,4/5,gcc,370000,850.0
mg,mg zs,2023,white,automatic,4/5,company source,86900,5500.0
nissan,altima,2006,white,manual,4/5,gcc,439000,670.0
tesla,model 3,2024,black,automatic,4/5,us,17000,13000.0
kia,sportage,2022,grey,automatic,4/5,us,116269,6200.0
jeep,patriot,2008,green,automatic,4/5,us,202000,1300.0
mercedes,c200,2019,white,automatic,4/5,europe,49500,7500.0
ford,mustang,2016,red,automatic,2/3,us,250850,4500.0
mercedes,e 350,2014,silver,automatic,4/5,us,210000,3600.0
jeep,compass,2018,orange,automatic,4/5,gcc,90000,5000.0
toyota,prado,2008,white,automatic,4/5,gcc,240000,4800.0
ford,ecosport,2014,white,automatic,4/5,gcc,197000,1200.0
toyota,echo,2000,green,automatic,4/5,gcc,200000,700.0
nissan,tiida,2009,white,manual,4/5,company source,1000000,900.0
nissan,pathfinder,2017,brown,automatic,4/5,us,181000,2200.0
nissan,xterra,2015,silver,automatic,4/5,us,80000,4700.0
mitsubishi,lancer,2008,red,automatic,2/3,gcc,248000,1200.0
hyundai,elantra,2009,white,automatic,4/5,gcc,300000,950.0
nissan,patrol,2014,white,automatic,4/5,gcc,420000,7500.0
nissan,qx80,2017,black,automatic,4/5,us,150000,7500.0
subaru,impreza,2008,red,automatic,4/5,gcc,24000,800.0
skoda,js4,2024,blue,automatic,4/5,company source,49000,4500.0
kia,morning,2017,white,automatic,4/5,company source,100000,2400.0
kia,sportage,2019,red,automatic,4/5,us,80000,4050.0
range rover,range rover sport,2015,white,automatic,4/5,us,118000,9950.0
jeep,renegade,2020,white,automatic,4/5,europe,142500,5000.0
renault,duster,2014,green,automatic,4/5,gcc,300000,800.0
lexus,rx 300,1998,beige,automatic,4/5,company source,200000,1500.0
mitsubishi,lancer,2011,silver,automatic,4/5,gcc,300000,1050.0
toyota,rav 4,2018,silver,automatic,4/5,us,63000,5150.0
honda,odyssey,2013,silver,automatic,4/5,gcc,170000,4000.0
mini,cooper s,2012,blue,automatic,4/5,us,130000,1550.0
jeep,wrangler,2020,yellow,automatic,4/5,us,145000,8400.0
toyota,camry,2011,white,automatic,4/5,gcc,348969,1550.0
toyota,rav 4,2018,brown,automatic,4/5,gcc,100179,7700.0
nissan,xterra,2014,black,automatic,4/5,us,230000,4800.0
toyota,rav 4,2020,silver,automatic,4/5,gcc,160000,8200.0
nissan,kicks,2020,white,automatic,4/5,us,101000,3950.0
mitsubishi,pajero,2012,brown,automatic,4/5,gcc,180000,2650.0
audi,a4,2011,silver,automatic,4/5,gcc,200000,1500.0
genesis,g70,2019,blue,automatic,4/5,us,125000,4700.0
renault,fluence,2015,black,automatic,4/5,gcc,152000,1250.0
chevrolet,cruze,2014,white,automatic,4/5,gcc,242000,1250.0
hyundai,accent,2014,white,automatic,4/5,gcc,170000,1200.0
kia,cadenza,2011,white,automatic,4/5,gcc,560000,1600.0
hyundai,veloster,2016,white,automatic,2/3,canada,121000,1600.0
honda,pilot,2012,burgundy,automatic,4/5,gcc,318000,3100.0
chevrolet,impala,2016,blue,automatic,4/5,gcc,200000,2600.0
toyota,prado,2015,white,automatic,4/5,gcc,63000,9000.0
ford,mustang,2013,red,automatic,2/3,us,175000,2500.0
hyundai,elantra,2021,silver,automatic,4/5,us,24000,5500.0
toyota,yaris,2017,other,automatic,4/5,gcc,82000,3975.0
toyota,corolla,2019,silver,automatic,4/5,us,9999,3900.0
hyundai,tucson,2016,white,automatic,4/5,gcc,190000,3500.0
honda,accord,2018,gold,automatic,4/5,us,50000,5750.0
toyota,corolla,2021,silver,automatic,4/5,us,71000,4800.0
hyundai,tucson,2016,silver,automatic,4/5,gcc,150000,3500.0
chevrolet,spark,2007,white,manual,4/5,gcc,10000,550.0
jeep,compass,2019,grey,automatic,4/5,gcc,54000,6900.0
nissan,rogue,2021,white,automatic,4/5,us,33000,6300.0
honda,pilot,2012,grey,automatic,4/5,gcc,300000,3500.0
toyota,yaris,2009,white,automatic,2/3,gcc,235000,1550.0
renault,duster,2015,burgundy,automatic,4/5,gcc,235000,890.0
mazda,2,2014,gold,automatic,4/5,gcc,245000,1150.0
chevrolet,tahoe,2020,black,automatic,4/5,us,35000,9400.0
toyota,camry,2017,red,automatic,4/5,us,125000,3700.0
suzuki,ciaz,2016,brown,automatic,4/5,gcc,200000,1650.0
mazda,3,2008,white,manual,4/5,company source,245000,800.0
mazda,3,2006,grey,automatic,4/5,gcc,200000,800.0
audi,a6,2020,black,automatic,4/5,gcc,137000,10200.0
honda,civic,2003,gold,automatic,4/5,gcc,300000,750.0
nissan,altima,2013,grey,automatic,4/5,us,186000,1650.0
nissan,versa,2007,silver,automatic,4/5,us,220631,750.0
mitsubishi,pajero,2017,white,automatic,4/5,gcc,165000,4300.0
toyota,yaris,2017,brown,automatic,4/5,gcc,190000,2750.0
nissan,altima,2007,green,automatic,4/5,us,45000,700.0
suzuki,swift,2012,red,automatic,4/5,company source,200000,1450.0
toyota,yaris,2022,white,automatic,2/3,gcc,82265,4500.0
mitsubishi,galant,2009,silver,automatic,4/5,company source,198000,950.0
jetour,t2,2025,black,automatic,4/5,gcc,23000,12500.0
kia,sorento,2015,white,automatic,4/5,gcc,210251,2950.0
ford,figo,2016,silver,automatic,4/5,gcc,240850,1200.0
land rover,lr2,2011,red,automatic,4/5,gcc,144000,1800.0
hyundai,elantra,2016,brown,automatic,4/5,gcc,1881,2450.0
nissan,sentra,2015,beige,automatic,4/5,gcc,167000,2000.0
toyota,corolla,2020,white,automatic,4/5,us,9000,5400.0
hyundai,santa fe,2010,blue,automatic,4/5,gcc,350000,1800.0
mitsubishi,lancer,2006,silver,automatic,4/5,gcc,628000,750.0
nissan,tiida,2007,brown,automatic,4/5,company source,459689,850.0
nissan,armada,2020,black,automatic,4/5,us,50000,8500.0
mitsubishi,lancer,2006,silver,automatic,4/5,company source,629728,750.0
hyundai,elantra,2018,burgundy,automatic,4/5,gcc,89000,3500.0
land rover,discovery,2016,white,automatic,4/5,us,132000,4900.0
nissan,altima,2011,brown,automatic,4/5,us,400000,1260.0
suzuki,swift,2006,red,automatic,4/5,gcc,350000,850.0
chevrolet,cruze,2012,silver,automatic,2/3,gcc,183898,1000.0
toyota,4runner,2019,grey,automatic,4/5,us,80000,9000.0
honda,civic,2010,white,automatic,4/5,gcc,470000,2000.0
toyota,corolla,2008,red,automatic,2/3,gcc,20000,1500.0
audi,a3,2015,red,automatic,4/5,gcc,127350,4000.0
renault,duster,2013,white,automatic,4/5,gcc,300000,899.0
honda,accord,2022,white,automatic,4/5,us,29000,7700.0
bentley,bentayga,2017,beige,automatic,4/5,gcc,75000,36500.0
mitsubishi,pajero,2017,brown,automatic,4/5,gcc,109000,5650.0
hyundai,accent,2015,blue,automatic,4/5,gcc,245000,1700.0
hyundai,tucson,2013,burgundy,automatic,4/5,gcc,18000,2250.0
honda,odyssey,2019,silver,automatic,4/5,us,144000,6300.0
hyundai,sonata,2015,red,automatic,4/5,us,170000,2450.0
honda,civic,2001,white,automatic,2/3,gcc,300000,600.0
honda,accord,2005,black,automatic,4/5,gcc,700000,750.0
honda,civic,2015,white,automatic,4/5,gcc,121844,3750.0
toyota,yaris,2021,white,automatic,4/5,company source,60000,4600.0
nissan,altima,2022,white,automatic,4/5,us,85000,4600.0
hyundai,accent,2015,brown,automatic,4/5,gcc,245000,1350.0
mercedes,glb 250,2020,burgundy,automatic,4/5,us,30000,10000.0
mitsubishi,lancer,2014,silver,automatic,4/5,gcc,170116,1750.0
suzuki,sx4,2014,white,automatic,4/5,gcc,230000,1250.0
kia,sirion,2008,white,automatic,2/3,gcc,150000,850.0
chevrolet,cruze,2017,white,automatic,4/5,gcc,224000,1200.0
ford,mustang,2018,burgundy,automatic,2/3,us,30000,4400.0
hyundai,santa fe,2010,purple,automatic,4/5,us,342000,1850.0
hyundai,tucson,2023,beige,automatic,4/5,company source,72000,8800.0
suzuki,dzire,2013,gold,automatic,4/5,gcc,245000,1100.0
toyota,corolla,2018,silver,automatic,4/5,canada,88000,3500.0
honda,odyssey,2021,white,automatic,4/5,gcc,85000,8900.0
subaru,forester,2013,grey,automatic,4/5,gcc,173000,1950.0
mitsubishi,pajero,2010,silver,automatic,4/5,company source,172500,2500.0
hyundai,elantra,2013,other,automatic,4/5,gcc,200000,1650.0
jeep,grand cherokee,2011,black,automatic,4/5,gcc,300000,2400.0
lexus,es 350,2007,silver,automatic,4/5,company source,29000,1700.0
jeep,cherokee,2014,grey,automatic,4/5,gcc,108000,2400.0
hyundai,sonata,2018,black,automatic,4/5,us,145000,3100.0
bmw,x7,2020,green,automatic,4/5,gcc,168000,21500.0
kia,carens,2011,white,automatic,4/5,gcc,244000,1100.0
toyota,corolla,2009,silver,automatic,4/5,gcc,200000,1500.0
renault,duster,2014,grey,automatic,4/5,europe,200000,900.0
subaru,impreza,2007,other,automatic,2/3,gcc,300000,650.0
mercedes,300/350/380,2012,white,automatic,4/5,us,20000,2000.0
