brand,model,year,color,transmission_type,number_of_doors,source,kilometers,price
nissan,altima,2020,red,automatic,4/5,us,130000,4900.0
toyota,highlander,2018,grey,automatic,4/5,us,172000,7900.0
gmc,sierra,2018,white,automatic,2/3,us,164000,7800.0
infiniti,qx80,2019,white,automatic,4/5,us,159000,9600.0
toyota,camry,2017,blue,automatic,4/5,us,276000,4400.0
chevrolet,suburban,2017,red,automatic,4/5,us,113000,9800.0
toyota,corolla,2020,black,automatic,4/5,us,145000,4200.0
jeep,ghibli,2015,red,automatic,4/5,gcc,99000,5000.0
toyota,highlander,2018,burgundy,automatic,4/5,us,162000,8400.0
chevrolet,suburban,2017,black,automatic,4/5,us,186000,9400.0
jeep,wrangler,2023,white,automatic,2/3,us,36000,10000.0
bmw,428,2015,white,automatic,4/5,europe,246000,3400.0
chevrolet,tahoe,2011,blue,automatic,4/5,us,26300,3600.0
audi,a8,2016,silver,automatic,4/5,gcc,11600,8600.0
lexus,es 350,2019,red,automatic,4/5,us,59000,12300.0
toyota,rav 4,2016,silver,automatic,4/5,us,99000,5800.0
honda,accord,2022,other,automatic,4/5,us,61000,6900.0
honda,accord,2019,red,automatic,4/5,us,95000,5500.0
lexus,is 300,2016,silver,automatic,4/5,gcc,170000,4950.0
ford,edge,2017,red,automatic,4/5,gcc,69000,5200.0
porsche,cayenne,2018,blue,automatic,4/5,gcc,69000,17900.0
audi,s3/rs3,2018,black,automatic,4/5,gcc,73000,14300.0
lexus,es 350,2019,black,automatic,4/5,us,147000,10800.0
kia,rio,2019,white,automatic,4/5,gcc,183000,4800.0
bmw,430i,2023,burgundy,automatic,4/5,gcc,20000,23500.0
land rover,range rover velar,2018,silver,automatic,4/5,gcc,50000,8950.0
mercedes,c 63 amg,2016,white,automatic,4/5,us,100000,9950.0
porsche,cayenne,2015,silver,automatic,4/5,gcc,20000,8300.0
mercedes,gt class,2021,silver,automatic,4/5,gcc,50000,33500.0
